name	country	gender	birthdate	birthyear	competition_years	first	last	results
Rachel ROSE	USA	W	3 Nov 1974	1974	None	None	NoneNone
Clayton CURRIE	AUS	M	13 May 1986	1986	2004	2004	2004	FA Final,6,JM4+
Toby DANKBAAR	AUS	M	10 Nov 1986	1986	2004	2004	2004	FA Final,6,JM4+
Tobias LISTER	AUS	M	7 Apr 1987	1987	2013;2012;2012;2012;2011;2011;2010;2010;2009;2008;2007;2004	2004	2013	FA Final,5,M8+;FA Final,6,M8+;FA Final,2,M8+;FA Final,6,M8+;FA Final,4,M8+;FB Final,1,M8+;FA Final,3,M8+;FA Final,2,M8+;FB Final,1,M8+;FB Final,1,BM8+;FA Final,3,BM8+;FA Final,6,JM4+
Elsa O'HANLON	AUS	W	24 Jun 1986	1986	2004	2004	2004	FA Final,3,JW4-
Brynne ALLEN	AUS	W	2 Jul 1987	1987	2004	2004	2004	FA Final,3,JW4-
Renee KIRBY	AUS	W	24 Apr 1987	1987	2008;2007;2006;2004	2004	2008	FC Final,1,BW2x;FA Final,2,BW4x;FA Final,5,BW8+;FA Final,3,JW4-
Shawn SCHOLL	USA	M	13 Jul 1964	1964	None	None	NoneNone
Verena STOCKER	AUS	W	15 Dec 1986	1986	2006;2004	2004	2006	FA Final,5,BW8+;FA Final,3,JW4-
Kim BROWN	AUS	W	15 Sep 1986	1986	2008;2005;2005;2004	2004	2008	FA Final,3,BW4x;FB Final,3,BW4x;FB Final,3,W4x;FA Final,6,JW2x
Jacque BENSON	AUS	W	25 May 1986	1986	2004	2004	2004	FA Final,6,JW2x
Christy SHAVER	USA	W	26 Oct 1976	1976	None	None	NoneNone
Jeremy STEVENSON	AUS	M	8 Dec 1986	1986	2008;2008;2008;2007;2007;2007;2006;2006;2006;2005;2004	2004	2008	FA Final,6,M8+;FA Final,4,M8+;FA Final,1,M8+;FB Final,2,M8+;FA Final,6,M8+;FB Final,4,M8+;FA Final,4,M8+;FA Final,1,M8+;FA Final,3,M8+;FB Final,3,M4-;FA Final,4,JM2x
Steve FLETCHER	AUS	M	3 Jul 1986	1986	2007;2005;2005;2004	2004	2007	FA Final,3,BM4x;FB Final,2,BM8+;FB Final,2,M8+;FA Final,4,JM2x
Rhys GRANT	AUS	M	6 Feb 1987	1987	2016;2016;2014;2014;2014;2009;2008;2004	2004	2016	FB Final,3,M1x;FA Final,2,M1x;FC Final,3,M4x;FB Final,3,M4x;FA Final,4,M1x;FA Final,4,BM8+;FA Final,4,BM4-;FA Final,6,JM4x
Jeremy ELLIS	AUS	M	8 Jun 1987	1987	2004	2004	2004	FA Final,6,JM4x
James GATTI	AUS	M	1 Nov 1986	1986	2008;2007;2007;2007;2006;2006;2006;2005;2004	2004	2008	FB Final,6,BM2x;FB Final,4,M4x;FA Final,4,M4x;FB Final,1,M4x;FB Final,3,M4x;FA Final,6,M4x;FA Final,3,M4x;FB Final,3,M4-;FA Final,6,JM4x
Robert ALDERMAN	AUS	M	10 Sep 1987	1987	2004	2004	2004	FA Final,6,JM4x
John STILLINGS	USA	M	23 Jul 1955	1955	1985;1984;1980	1980	1985	FA Final,5,M4+;F Final,2,M4+;FA Final,4,LM8+
Micah TURMAN	USA	M	29 Dec 1980	1980	None	None	NoneNone
David VANCOTT	USA	M	6 Apr 1967	1967	None	None	NoneNone
Natallia HAURYLENKA	BLR	W	13 Aug 1986	1986	2011;2010;2010;2009;2009;2009;2008;2008;2007;2007;2007;2007;2007;2006;2006;2005;2005;2004	2004	2011	FC Final,2,W2-;FA Final,6,W8+;FB Final,2,W8+;FA Final,2,W8+;FB Final,2,W8+;FA Final,6,W8+;FA Final,3,BW8+;FB Final,1,W8+;FB Final,3,W1x;FB Final,5,W4x;FA Final,6,W4x;H1 Heat,6,W4x;FC Final,1,W2x;FA Final,2,BW8+;FA Final,6,W8+;FB Final,1,W8+;FA Final,6,BW4x;FA Final,6,JW8+
Dzmitry DUBAVETS	BLR	M	13 Mar 1986	1986	2006;2005;2005;2004	2004	2006	FB Final,4,BM2-;FB Final,3,JM8+;FB Final,6,BM8+;FA Final,5,JM4-
Vadzim RUSETSKI	BLR	M	5 May 1987	1987	2005;2004	2004	2005	FB Final,3,JM8+;FA Final,5,JM4-
Aliaksandr DUDAR	BLR	M	24 Mar 1986	1986	2004	2004	2004	FB Final,1,JM1x
Maksim SHEK	BLR	M	2 Sep 1986	1986	2004	2004	2004	FB Final,1,JM4x
Siarhei RUBANAU	BLR	M	20 Jan 1986	1986	2004	2004	2004	FB Final,1,JM4x
Kiryl LEMIASHKEVICH	BLR	M	12 May 1986	1986	2010;2010;2009;2009;2008;2008;2008;2007;2007;2007;2007;2007;2006;2006;2006;2006;2004	2004	2010	FB Final,5,M1x;FB Final,3,M4x;FA Final,2,M4x;FB Final,5,M4x;FB Final,3,M4x;FB Final,5,M4x;FB Final,5,M4x;FB Final,4,M1x;FB Final,6,M4x;FB Final,3,M4x;FB Final,3,M4x;FB Final,3,M4x;FB Final,5,M4x;FC Final,1,BM4x;FA Final,5,M4x;FA Final,6,M4x;FB Final,1,JM4x
Dzianis SURAVETS	BLR	M	17 Mar 1986	1986	2018;2017;2017;2017;2016;2016;2016;2016;2015;2015;2015;2015;2015;2014;2014;2014;2014;2013;2013;2011;2010;2009;2008;2008;2007;2006;2005;2004	2004	2018	FC Final,1,M2x;FB Final,6,M4-;FB Final,3,M8+;FB Final,2,M2-;FB Final,1,M2+;FA Final,5,M8+;FA Final,4,M2-;FA Final,6,M2-;FC Final,3,M2-;FB Final,6,M2-;FB Final,3,M2-;FB Final,1,M2-;FA Final,3,M2-;FB Final,5,M8+;FB Final,2,M8+;FA Final,3,M8+;FA Final,6,M8+;FC Final,2,M2-;FA Final,5,M8+;FB Final,2,M2x;FB Final,3,M4x;FA Final,6,M2x;FB Final,3,M4x;FA Final,6,BM1x;FD Final,3,M1x;FC Final,1,BM4x;FA Final,1,BM4x;FB Final,1,JM4x
Aliaksandra BYLINOVICH	BLR	W	14 Jun 1987	1987	2004	2004	2004	FA Final,6,JW8+
Maryia YAROKHINA	BLR	W	4 Jul 1987	1987	2004	2004	2004	FA Final,6,JW8+
Natallia PRYVALAVA	BLR	W	19 Feb 1987	1987	2010;2009;2009;2009;2009;2008;2008;2007;2007;2007;2006;2006;2005;2004	2004	2010	FB Final,4,W4x;F Final,4,W4x;FB Final,2,W4x;FA Final,5,BW4x;FA Final,4,W4x;FA Final,3,BW8+;FB Final,1,W8+;FA Final,4,W8+;FA Final,1,BW8+;FA Final,6,W8+;FA Final,2,BW8+;FA Final,6,W8+;FA Final,2,JW4x;FA Final,6,JW8+
Volha USTSINENKA	BLR	W	24 Oct 1986	1986	2008;2008;2008;2007;2007;2007;2007;2006;2005;2004	2004	2008	FB Final,3,W2x;FB Final,5,W2x;FC Final,4,W2x;R2 Repechage,5,W2x;R Repechage,4,W2x;FB Final,1,W2x;FB Final,5,W2x;FB Final,2,BW1x;FB Final,2,BW1x;FA Final,6,JW8+
Anastasiya KATSIASHOVA	BLR	W	13 Feb 1987	1987	2008;2008;2008;2007;2007;2007;2006;2006;2004	2004	2008	FA Final,3,W8+;FA Final,3,BW8+;FB Final,1,W8+;FA Final,4,W8+;FA Final,1,BW8+;FA Final,6,W8+;FA Final,2,BW8+;FA Final,6,W8+;FA Final,6,JW8+
Rodrigo IDEUS FORERO	COL	M	7 Mar 1987	1987	2011;2010;2008;2008;2007;2007;2006;2006;2005;2004	2004	2011	FF Final,2,M1x;FE Final,6,LM1x;FE Final,4,M1x;FF Final,2,M1x;FD Final,1,LM1x;FD Final,5,LM1x;FE Final,1,LM2x;FD Final,2,LM2x;FE Final,2,JM1x;FE Final,1,JM1x
Ivan MATESKOVICH	CRO	M	8 Jun 1988	1988	2004	2004	2004	FB Final,4,M2+
Dejan RADMANIC	CRO	M	10 Feb 1986	1986	2005;2004	2004	2005	FA Final,4,BM4+;FB Final,2,JM2-
Dinko RADMANIC	CRO	M	10 Feb 1986	1986	2005;2004	2004	2005	FA Final,4,BM4+;FB Final,2,JM2-
Valent SINKOVIC	CRO	M	2 Aug 1988	1988	2018;2018;2018;2018;2018;2017;2017;2016;2016;2016;2016;2015;2015;2015;2014;2014;2014;2013;2013;2013;2013;2012;2012;2012;2012;2012;2011;2011;2011;2011;2010;2010;2010;2010;2010;2010;2009;2009;2009;2009;2008;2008;2008;2007;2007;2007;2006;2005;2004	2004	2018	FA Final,1,M2-;FA Final,1,M2-;FB Final,2,M2-;FA Final,2,M2-;FA Final,1,M2-;FA Final,2,M2-;FA Final,2,M2-;FA Final,1,M2x;FA Final,1,M2x;FA Final,1,M2x;FA Final,1,M2x;FA Final,1,M2x;FA Final,1,M2x;FA Final,1,M2x;FA Final,1,M2x;FA Final,1,M2x;FA Final,1,M2x;FA Final,1,M4x;FA Final,1,M4x;FA Final,1,M4x;FA Final,6,M4x;FA Final,1,M2x;FA Final,2,M4x;FA Final,1,M4x;FA Final,1,M4x;FA Final,1,M4x;FA Final,3,M4x;FA Final,5,M4x;FA Final,1,M4x;FA Final,2,M4x;FA Final,1,M4x;FA Final,2,M4x;FA Final,1,BM4x;FA Final,1,M4x;FA Final,1,M4x;FA Final,1,M4x;FA Final,4,M4x;FA Final,1,BM4x;FA Final,1,M4x;FA Final,3,M2x;FA Final,5,M2x;FA Final,2,BM2x;FB Final,4,M2x;FC Final,5,M4x;FA Final,4,BM2x;FD Final,2,M2x;FA Final,2,JM2x;FB Final,1,JM1x;FB Final,5,JM1x
Marjolaine ROSSIT	FRA	W	9 Jan 1980	1980	2006;2005;2004	2004	2006	FB Final,4,W8+;FA Final,4,W4-;FA Final,1,W4-
Florent BOUGRAS	FRA	M	10 May 1983	1983	2004	2004	2004	FA Final,5,M4+
Adrien BAU	FRA	M	28 Sep 1986	1986	2004	2004	2004	FB Final,3,JM4+
Frederic CHEVALIER	FRA	M	7 Feb 1986	1986	2004	2004	2004	FB Final,3,JM4+
Auguste COLIN	FRA	M	24 Nov 1987	1987	2005;2004	2004	2005	FB Final,5,JM4x;FB Final,3,JM4+
Benjamin LANG	FRA	M	4 Feb 1987	1987	2016;2016;2016;2016;2015;2015;2015;2015;2015;None;2014;2014;2014;2013;2013;2013;2013;2013;2012;2012;2012;2011;2011;2011;2009;2009;2009;2008;2008;2008;2007;2007;2007;2006;2005;2004	2004	None	FB Final,5,M4-;R1 Repechage,5,M4-;FA Final,2,M4-;FA Final,3,M4-;FB Final,4,M8+;FB Final,1,M8+;FB Final,1,M8+;FA Final,5,M8+;FA Final,4,M8+;FA Final,1,M8+;FA Final,5,M8+;FA Final,4,M8+;FA Final,5,M8+;FA Final,6,M8+;FA Final,5,M8+;FA Final,3,M8+;FA Final,4,M8+;FA Final,3,M2-;FA Final,2,M2+;F Final,3,M8+;FA Final,6,M8+;FB Final,6,M2-;FB Final,5,M2-;FB Final,3,M2-;FA Final,5,M2+;FB Final,3,M2-;FA Final,5,M4-;FA Final,2,M2+;FB Final,1,M8+;FA Final,5,M8+;FB Final,5,M8+;FB Final,3,M8+;FB Final,4,M8+;FB Final,4,BM8+;FA Final,6,JM8+;FB Final,3,JM4+
Marc DELBOS	FRA	M	17 Oct 1986	1986	2004	2004	2004	FB Final,3,JM4+
Yannick D'ORIO	FRA	M	7 Aug 1986	1986	2004	2004	2004	FC Final,4,JM2x
Cedric BLEUX	FRA	M	7 Jul 1987	1987	2005;2004	2004	2005	FB Final,5,JM4x;FC Final,4,JM2x
Marion RIALET	FRA	W	13 Mar 1987	1987	2011;2011;2011;2009;2009;2008;2007;2004	2004	2011	F Final,6,W4x;FD Final,3,W2x;FC Final,2,W1x;FA Final,6,W8+;FA Final,3,BW2x;FB Final,5,BW2x;FB Final,3,BW2x;FA Final,6,JW4x
Coralie RIBEIL	FRA	W	21 Nov 1986	1986	2010;2009;2009;2007;2007;2006;2006;2006;2006;2005;2005;2005;2004	2004	2010	FD Final,3,LW1x;FC Final,2,LW1x;FB Final,4,LW1x;FB Final,5,BLW2x;FB Final,4,LW1x;FB Final,6,LW1x;FB Final,3,LW1x;FA Final,5,LW1x;FB Final,5,LW1x;FA Final,4,LW4x;FA Final,5,LW4x;FC Final,1,LW2x;FA Final,6,JW4x
Charlotte LAURENT	FRA	W	28 Mar 1986	1986	2007;2004	2004	2007	FB Final,3,BW2x;FA Final,6,JW4x
Baptiste DEBLOCK	FRA	M	11 Sep 1986	1986	2004	2004	2004	FA Final,5,JM4x
Michael MOLINA	FRA	M	1 Mar 1986	1986	2012;2012;2012;2011;2011;2011;2009;2009;2008;2007;2007;2006;2005;2004	2004	2012	FA Final,2,M2+;F Final,3,M8+;FA Final,6,M8+;FB Final,6,M2-;FB Final,5,M2-;FB Final,3,M2-;FB Final,2,M4-;FC Final,1,M2-;FA Final,6,BM4x;FB Final,1,M4x;FA Final,2,BM4x;FA Final,6,BM4x;FA Final,5,BM2x;FA Final,5,JM4x
Gaetan DELHON	MON	M	2 Feb 1986	1986	2009;2008;2008;2007;2007;2006;2004	2004	2009	FC Final,6,M1x;FA Final,6,BM4x;FD Final,4,M1x;FB Final,1,M4x;FA Final,2,BM4x;FA Final,6,BM4x;FA Final,5,JM4x
Clementine JULLIEN-DUBOSQUELLE	FRA	W	4 May 1987	1987	2006;2005;2004	2004	2006	FA Final,6,BW2x;FA Final,4,JW1x;FA Final,5,JW8+
Vanessa GRANDPIERRE	FRA	W	18 May 1987	1987	2010;2010;2010;2009;2009;2008;2006;2004	2004	2010	R Repechage,6,W8+;FB Final,6,W2x;FA Final,6,W2x;FA Final,6,W8+;FA Final,3,BW2x;FB Final,4,BW4-;FB Final,1,W8+;FA Final,5,JW8+
Genevieve BERNARD	FRA	W	9 May 1987	1987	2005;2004	2004	2005	FB Final,4,JW4-;FA Final,5,JW8+
Charlotte GARCIA	FRA	W	20 Nov 1986	1986	2004	2004	2004	FA Final,5,JW8+
Anne SOMAINI	FRA	W	25 Nov 1986	1986	2004	2004	2004	FA Final,5,JW8+
Jeremy LARONZE	FRA	M	20 Nov 1986	1986	2008;2007;2004	2004	2008	FC Final,5,BM2-;FB Final,3,BM4-;FA Final,6,JM8+
Antoine VATAN	FRA	M	7 Jan 1986	1986	2007;2004	2004	2007	FB Final,3,BM4-;FA Final,6,JM8+
Trevors RENAUD	FRA	M	13 May 1986	1986	2004	2004	2004	FA Final,6,JM8+
Pierrick TAMIC	FRA	M	8 Jun 1986	1986	2004	2004	2004	FA Final,6,JM8+
Lilian DUMAS	FRA	M	17 Mar 1986	1986	2004	2004	2004	FA Final,6,JM8+
Matthieu MILLOT	FRA	M	24 Jan 1986	1986	2008;2005	2005	2008	FA Final,6,BM4x;FB Final,2,BM4-
Jeremy WEISS	FRA	M	23 Aug 1986	1986	2005;2004	2004	2005	FB Final,2,BM4-;FA Final,6,JM8+
Anais BERNARD	FRA	W	27 Oct 1987	1987	None	None	NoneNone
Mathieu LE NEPVOU	FRA	M	15 May 1986	1986	None	None	NoneNone
Guillaume SARTELET	FRA	M	2 Jan 1986	1986	2008;2007;2006;2005;2004	2004	2008	FC Final,5,BM2-;FA Final,2,BM4+;FB Final,4,BM8+;FB Final,3,BM8+;FC Final,2,JM2-
Romain BOUTRON	FRA	M	5 May 1987	1987	2008;2007;2006;2005;2004	2004	2008	FB Final,1,BLM4x;FA Final,2,BLM4x;FA Final,6,BLM4x;FA Final,6,JM8+;FC Final,2,JM2-
Vladimir POLOMARTCHUK	ISR	M	18 Jan 1988	1988	2009;2009;2007;2007;2006;2006;2005;2004	2004	2009	FC Final,1,LM2x;FD Final,1,BLM2x;FE Final,2,LM2x;FC Final,6,LM2x;FD Final,4,LM4-;FC Final,3,JM2x;FD Final,6,JM2x;FD Final,2,JM4x
Yaroslav MIRONENKO	ISR	M	8 Jun 1988	1988	2004	2004	2004	FD Final,2,JM4x
Yoni LINZKI	ISR	M	22 Jun 1986	1986	2004	2004	2004	FD Final,2,JM4x
Janis SKUJENIEKS	LAT	M	12 Dec 1986	1986	2006;2005;2004	2004	2006	FB Final,4,BM4-;FC Final,1,BM2-;FA Final,3,JM2-
Janis TIMOFEJEVS	LAT	M	13 Mar 1987	1987	2012;2012;2011;2010;2009;2008;2007;2007;2006;2005;2004	2004	2012	FB Final,6,M1x;SA/B 1 Semifinal,5,M1x;FC Final,6,M4x;FC Final,4,M1x;FB Final,1,BM4x;FC Final,1,BM4x;FB Final,4,M2x;FB Final,3,BM1x;FB Final,4,BM4x;FA Final,4,JM1x;FC Final,1,JM1x
Fredrik HOLAGER	NOR	M	2 Apr 1986	1986	2004	2004	2004	FB Final,5,JM2x
Knut BJOERDAL	NOR	M	28 Jun 1986	1986	2007;2007;2004	2004	2007	FB Final,6,M2x;FC Final,3,BM4x;FB Final,5,JM2x
Ben TIPNEY	GBR	M	9 May 1983	1983	2005;2004;2004	2004	2005	FC Final,1,BLM2x;FB Final,4,BLM2x;FA Final,4,LM8+
Hristina TOMOVA	BUL	W	25 Oct 1987	1987	2004	2004	2004	FB Final,6,JW1x
Ivan LADZHOV	BUL	M	2 Feb 1987	1987	2005;2004	2004	2005	FC Final,2,JM1x;FC Final,3,JM1x
Oleg HRISTOV	BUL	M	23 Dec 1986	1986	2004	2004	2004	FC Final,1,JM2x
Dobromir HRISTOV	BUL	M	18 Apr 1986	1986	2004	2004	2004	FC Final,1,JM2x
Hannah MAHER	NZL	W	26 Jan 1986	1986	2004	2004	2004	FB Final,3,JW8+
Michelle MANAGH	NZL	W	13 Sep 1986	1986	2004	2004	2004	FB Final,3,JW8+
Trudy STUART	NZL	W	30 Aug 1986	1986	2006;2004	2004	2006	FA Final,5,BW4x;FB Final,3,JW8+
Abbey SANDS-MILNER	NZL	W	23 Jun 1986	1986	2004	2004	2004	FB Final,3,JW8+
Carl FINLAY	NZL	M	7 Oct 1987	1987	2007;2007;2007;2006;2005;2004	2004	2007	FC Final,1,M8+;FB Final,4,M8+;FB Final,6,M8+;FB Final,5,BM4-;FA Final,5,JM8+;FB Final,2,JM8+
Reuben TAIT	NZL	M	11 May 1986	1986	2004	2004	2004	FB Final,2,JM8+
Hamish BURSON	NZL	M	13 Apr 1987	1987	2012;2012;2011;2011;2010;2010;2010;2009;2009;2008;2005;2004	2004	2012	F Final,2,M8+;R Repechage,5,M8+;FB Final,4,M8+;FB Final,4,M8+;FA Final,3,M4-;FA Final,2,M4-;FA Final,5,M4-;FB Final,3,M4-;FA Final,1,BM4-;FA Final,5,BM4-;FB Final,5,BM4-;FB Final,2,JM8+
Nicholas PUSINELLI	NZL	M	7 Jun 1986	1986	2011;2011;2008;2004	2004	2011	FB Final,4,M8+;FE Final,3,M2-;FB Final,6,BM8+;FB Final,2,JM8+
Victor ASPILLAGA ALAYZA	PER	M	2 Jul 1985	1985	2012;2012;2012;2011;2011;2010;2007;2007;2006;2005;2004;2004	2004	2012	FC Final,5,LM1x;FE Final,3,M1x;FD Final,4,LM1x;FB Final,3,LM1x;FA Final,3,LM1x;FC Final,1,LM1x;H2 Heat,6,BLM1x;FD Final,6,LM2x;FC Final,3,BLM1x;FB Final,3,BLM1x;SC/D 1 Semifinal,2,BLM1x;R3 Repechage,5,LM1x
Jurgen SPIHLMANN FREIBERG	PER	M	2 Sep 1986	1986	2004;2004	2004	2004	FD Final,4,BM1x;FC Final,6,JM1x
Eduardo CRUZ	POR	M	12 Apr 1986	1986	2005;2004	2004	2005	FC Final,2,BM4x;FB Final,6,JM2x
Helen JERVIS	RSA	W	4 Jan 1988	1988	2004	2004	2004	FB Final,2,JW2-
Carolyn SMITH	RSA	W	4 Feb 1986	1986	2008;2004	2004	2008	FB Final,4,BLW1x;FB Final,2,JW2-
Peter LAMBERT	GBR	M	3 Dec 1986	1986	2017;2017;2017;2017;2017;2016;2016;2016;2016;2015;2015;2015;2014;2014;2014;2014;2013;2013;2013;2013;2012;2011;2011;2010;2010;2010;2009;2006;2004	2004	2017	SA/B 1 Semifinal,1,M4x;FA Final,2,M4x;FA Final,1,M4x;FA Final,4,M4x;FB Final,4,M1x;FA Final,5,M4x;FA Final,5,M4x;H2 Heat,1,M4x;FA Final,5,M4x;FA Final,4,M4x;FA Final,1,M4x;FA Final,3,M4x;FA Final,2,M4x;FA Final,1,M4x;FA Final,1,M4x;FA Final,2,M4x;FA Final,3,M4x;FA Final,4,M4x;FA Final,5,M4x;FA Final,4,M2x;FB Final,2,M1x;FC Final,3,M4-;FC Final,3,M4-;FB Final,1,M2-;FC Final,3,M1x;FD Final,1,M1x;FC Final,2,M1x;FC Final,3,BLM4-;FC Final,5,JM2-
Matthew GERTENBACH	RSA	M	11 Aug 1986	1986	2006;2004	2004	2006	FB Final,2,BM4-;FC Final,1,JM4-
Sheldon BEVAN	RSA	M	13 Aug 1986	1986	2004	2004	2004	FC Final,1,JM4-
Shaun KEELING	RSA	M	21 Jan 1987	1987	2016;2016;2016;2015;2015;2014;2014;2013;2013;2012;2011;2011;2010;2010;2009;2009;2009;2008;2008;2008;2008;2007;2006;2005;2004	2004	2016	FA Final,2,M2-;FA Final,4,M2-;FA Final,3,M2-;FB Final,1,M2-;FA Final,6,M2-;FA Final,3,M2-;FA Final,5,M2-;FB Final,2,M2-;FA Final,4,M2-;FA Final,4,M2-;FC Final,3,M4-;FC Final,3,M4-;FB Final,6,M2-;FA Final,6,M2-;FA Final,6,M2-;FA Final,6,M2-;FA Final,2,M2-;FA Final,5,M2-;FA Final,3,M2-;FA Final,6,M2-;FC Final,2,M2-;FB Final,6,BM1x;FB Final,2,BM4-;FC Final,4,JM1x;FD Final,1,JM2x
Shuying ONG	SGP	W	9 Feb 1989	1989	2005;2004	2004	2005	FB Final,6,JW2-;FC Final,4,JW1x
Ivan LEE YEE FAN	SGP	M	2 Jul 1988	1988	2005;2004	2004	2005	FF Final,1,JM2x;FD Final,6,JM1x
Hana TRABELSI	TUN	W	7 Feb 1985	1985	None	None	NoneNone
Houcine OUNIS	TUN	M	7 Mar 1986	1986	2004	2004	2004	FD Final,3,JM2x
Ming Cheung HO	HKG	M	14 Nov 1986	1986	2007;2005;2005;2004	2004	2007	FC Final,5,BLM4-;FC Final,2,LM2x;FC Final,2,LM2x;FD Final,2,JM2x
Kwong Wing CHOW	HKG	M	17 Mar 1986	1986	2015;2015;2015;2014;2014;2014;2013;2013;2013;2012;2012;2010;2009;2009;2008;2008;2008;2007;2007;2007;2006;2006;2005;2004	2004	2015	FB Final,4,LM4x;FE Final,1,LM2x;FD Final,1,LM2x;FA Final,3,LM4x;FD Final,5,LM2x;FA Final,5,LM2x;FA Final,6,LM4x;FA Final,3,LM4x;FC Final,1,LM2x;FC Final,1,LM4x;FC Final,1,LM2x;FC Final,2,LM2x;FC Final,5,LM2x;FC Final,5,LM2x;FC Final,4,LM2x;FB Final,6,BLM1x;FC Final,3,LM2x;FB Final,2,BLM2x;FC Final,2,LM2x;FE Final,2,LM2x;FC Final,6,BLM1x;FC Final,4,LM2x;FC Final,2,LM2x;FD Final,2,JM2x
Stephen CHENG	CAN	M	25 Jul 1979	1979	2007;2006;2005;2004;2001	2001	2007	FA Final,1,M8+;FA Final,2,M4+;FA Final,4,M4+;FA Final,2,M4+;F Final,4,M8+
Sheryl PRESTON	CAN	W	11 Oct 1975	1975	2010;2010;2009;2009;2009;2006;2005;2004	2004	2010	FB Final,2,LW1x;FB Final,1,LW1x;FA Final,6,LW2x;FA Final,3,LW2x;FA Final,3,LW2x;FA Final,6,LW4x;FB Final,2,LW2x;FA Final,2,LW4x
Elizabeth URBACH	CAN	W	28 Jun 1976	1976	2005;2005;2004	2004	2005	FA Final,1,LW4x;FA Final,6,LW2x;FA Final,2,LW4x
Jordi-Joan MALIA MASANA	ESP	M	23 Apr 1987	1987	2004	2004	2004	FA Final,6,M2+
Jacob NEERGAARD	DEN	M	18 Aug 1989	1989	2004	2004	2004	FA Final,3,M2+
Rafal CHOLEWINSKI	POL	M	4 Jan 1986	1986	2004;2004	2004	2004	FA Final,2,M2+;F Final,3,JM2+
Valentin IONITA	ROU	M	15 Oct 1984	1984	None	None	NoneNone
Cristina VLAD	ROU	W	16 Feb 1984	1984	None	None	NoneNone
Etien SALGAJ	SLO	M	28 Mar 1991	1991	2004	2004	2004	FB Final,3,M2+
Blaz KROPE	SLO	M	16 Feb 1992	1992	2004	2004	2004	FA Final,4,M4+
Yuriy PANCHUK	UKR	M	12 May 1981	1981	2014;2011;2008;2006;2004	2004	2014	FB Final,4,M2+;FB Final,2,M2+;FA Final,6,M2+;FB Final,4,M8+;FB Final,6,M4+
Kaat HAUTVAST	NED	W	18 Jan 1980	1980	2007;2007;2006;2006;2005;2005;2004	2004	2007	FA Final,6,LW4x;FA Final,2,LW4x;FC Final,3,LW2x;FC Final,5,LW2x;FA Final,5,LW4x;FA Final,4,LW4x;FA Final,6,LW4x
Molly BAKER	USA	W	18 Oct 1981	1981	2004	2004	2004	FB Final,1,W4-
Christopher DE FELICE	USA	M	28 Jul 1978	1978	2004	2004	2004	FB Final,2,M2+
Vincent PUMA	USA	M	12 Feb 1968	1968	2008;2006;2004	2004	2008	FB Final,3,M2+;FA Final,4,M2+;FB Final,2,M2+
Chris GREENLEAF	USA	M	16 Sep 1981	1981	2004	2004	2004	FA Final,5,LM8+
Steve COPPOLA JR	USA	M	22 May 1984	1984	2011;2011;2010;2009;2009;2008;2007;2006;2005;2004	2004	2011	FB Final,2,M8+;FA Final,4,M8+;FA Final,6,M8+;FC Final,1,M4-;FA Final,3,M4-;FA Final,3,M8+;FA Final,4,M8+;FA Final,3,M8+;FA Final,1,M8+;FA Final,3,M4+
Jean ETIKA	CMR	M	18 Jul 1981	1981	None	None	NoneNone
Sammef MOUKOUM BOULAN	CMR	M	3 May 1981	1981	2005	2005	2005	FD Final,1,LM1x
Alexander KOCH	BEL	M	22 Jul 1986	1986	2010;2010;2010;2010;2007;2006;2005;2004	2004	2010	R Repechage,4,M4x;FD Final,4,M2x;FB Final,2,M4x;FB Final,1,M4x;R Repechage,4,BM8+;FB Final,6,BM4-;FC Final,2,BM8+;SA/B 1 Semifinal,6,JM4-
Benoit LECLERCQ	BEL	M	7 May 1988	1988	2006;2005;2004	2004	2006	FB Final,2,JM4-;FB Final,5,JM2x;SA/B 1 Semifinal,6,JM4-
Ruben DE GENDT	BEL	M	9 Apr 1987	1987	2010;2010;2009;2009;2009;2008;2007;2007;2006;2006;2005;2004	2004	2010	FE Final,3,LM1x;FC Final,6,LM1x;FC Final,3,LM4-;FB Final,5,LM4-;FB Final,4,LM4-;FA Final,6,BLM4-;FB Final,2,LM4-;FB Final,1,BLM4x;R Repechage,4,LM2-;FB Final,1,BLM2-;FC Final,3,JM4x;SA/B 1 Semifinal,6,JM4-
Pieter VERPOEST	BEL	M	3 Jun 1986	1986	2004	2004	2004	FC Final,5,JM4x
Hannes DE REU	BEL	M	30 May 1986	1986	2011;2011;2011;2010;2010;2010;2010;2009;2009;2009;2008;2006;2005;2004	2004	2011	FC Final,6,M1x;FB Final,2,M2x;FC Final,5,M2x;R Repechage,4,M4x;FD Final,3,M1x;FB Final,2,M4x;FB Final,1,M4x;FA Final,5,M4x;FC Final,4,M1x;FB Final,6,M2x;FC Final,2,BM2x;FB Final,5,BM1x;FC Final,2,BM8+;FC Final,5,JM4x
Joachim DE PAUW	BEL	M	7 Jul 1987	1987	2006;2005;2004	2004	2006	FC Final,4,BLM1x;FB Final,5,JM2x;FC Final,5,JM4x
Brandon BATEY	CAN	M	2 Apr 1986	1986	2004	2004	2004	FA Final,3,JM4+
Grant DOORNEKAMP	CAN	M	11 May 1987	1987	2005;2004	2004	2005	FB Final,4,JM4-;FA Final,3,JM4+
